Gender,Customer Type,Type of Travel,Class,Age,Flight Distance,Departure Delay in Minutes,Arrival Delay in Minutes,Inflight wifi service,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Satisfaction
Female,Loyal Customer,Personal Travel,Eco,18,950,12,2,2,5,2,4,4,5,5,3,3,4,5,2,5,1
Male,Disloyal Customer,Business travel,Eco Plus,53,786,5,1,4,4,3,3,4,4,3,5,3,4,3,4,5,0
Female,Disloyal Customer,Personal Travel,Business,53,1570,3,3,4,3,2,3,4,4,5,4,0,4,3,4,3,0
Female,Loyal Customer,Personal Travel,Business,33,80,9,0,2,4,4,4,4,4,3,4,3,4,4,4,4,0
Male,Loyal Customer,Personal Travel,Eco,45,1536,18,13,4,5,2,3,3,3,3,5,3,4,4,4,5,0
Female,Loyal Customer,Business travel,Eco,36,460,16,9,3,3,3,3,3,5,4,3,3,3,3,3,3,0
Female,Disloyal Customer,Business travel,Business,42,1006,5,0,4,4,4,3,3,3,4,4,4,5,2,3,3,0
Female,Disloyal Customer,Business travel,Business,25,606,4,0,4,5,2,3,4,4,3,4,2,5,3,3,4,0
Male,Disloyal Customer,Personal Travel,Eco,46,438,4,0,4,3,2,4,4,3,4,4,3,4,4,3,3,1
Male,Loyal Customer,Personal Travel,Eco Plus,19,1557,16,7,4,5,3,3,5,3,4,3,4,4,5,5,4,1
Male,Loyal Customer,Personal Travel,Eco,18,1828,4,10,4,5,2,2,5,4,5,3,3,5,3,5,5,1
Female,Loyal Customer,Personal Travel,Eco,38,789,23,25,2,4,3,2,3,5,3,3,4,3,5,4,3,1
Female,Loyal Customer,Personal Travel,Eco,36,1068,12,24,3,3,2,1,4,5,3,3,3,4,4,4,3,0
Female,Disloyal Customer,Business travel,Eco,42,928,8,27,3,4,2,5,4,4,3,4,3,5,3,5,0,1
Male,Loyal Customer,Business travel,Eco,31,1765,5,12,4,3,3,0,2,3,5,5,3,4,2,3,5,1
Male,Loyal Customer,Personal Travel,Business,62,80,9,13,4,3,3,3,3,4,2,2,2,4,4,3,4,1
Female,Loyal Customer,Business travel,Eco,41,1089,3,10,4,4,3,5,5,5,2,4,3,5,4,5,5,0
Male,Loyal Customer,Business travel,Eco,42,536,2,7,5,3,1,3,3,2,3,3,4,4,5,3,5,1
Female,Disloyal Customer,Personal Travel,Eco,41,80,12,13,3,3,4,4,3,3,3,4,3,4,3,3,5,1
Female,Loyal Customer,Personal Travel,Eco,51,720,8,8,3,3,2,2,4,2,4,3,3,4,5,5,4,1
Female,Disloyal Customer,Personal Travel,Eco,46,1824,14,4,3,2,5,4,5,3,4,4,3,5,3,5,5,0
Male,Disloyal Customer,Personal Travel,Eco Plus,44,572,10,18,2,4,3,3,4,2,3,3,2,5,3,3,5,0
Female,Disloyal Customer,Personal Travel,Eco,48,1295,5,5,2,3,3,2,4,2,5,3,2,4,2,4,2,1
Female,Disloyal Customer,Personal Travel,Eco Plus,18,1499,16,30,4,5,2,2,2,2,2,4,4,4,5,5,4,1
Female,Disloyal Customer,Personal Travel,Business,18,894,5,14,2,3,3,5,4,3,3,4,0,3,4,3,3,0
Male,Disloyal Customer,Personal Travel,Eco,38,960,19,13,3,3,5,3,4,4,5,5,3,4,4,5,3,0
Male,Loyal Customer,Business travel,Business,37,80,5,17,3,3,2,2,5,3,2,3,4,4,3,5,4,0
Male,Loyal Customer,Business travel,Business,46,542,2,0,3,4,4,3,2,3,4,4,2,4,4,3,4,0
Male,Loyal Customer,Personal Travel,Business,39,1354,22,41,4,4,3,3,4,4,5,4,3,4,3,3,4,1
Female,Loyal Customer,Personal Travel,Eco Plus,46,930,5,0,4,4,4,3,5,4,1,4,3,5,4,2,4,1
Female,Loyal Customer,Personal Travel,Eco Plus,24,1084,5,10,3,4,1,4,3,5,3,5,4,5,3,3,0,1
Female,Disloyal Customer,Personal Travel,Eco Plus,39,967,3,7,4,5,5,3,4,4,4,3,3,3,4,3,4,0
Male,Loyal Customer,Personal Travel,Eco Plus,23,1996,7,18,4,4,3,4,3,2,3,4,3,5,4,5,5,1
Male,Loyal Customer,Personal Travel,Eco,44,685,3,0,2,3,3,0,3,3,3,4,5,4,5,3,4,1
Male,Disloyal Customer,Personal Travel,Business,18,1703,21,0,4,3,4,5,5,4,3,3,3,5,4,3,3,0
Male,Loyal Customer,Business travel,Eco Plus,43,967,6,3,3,4,3,3,3,3,4,5,4,4,5,4,4,0
Male,Disloyal Customer,Personal Travel,Eco Plus,21,1747,4,2,3,3,2,4,4,3,3,4,2,4,4,3,5,1
Male,Loyal Customer,Business travel,Eco,34,288,8,0,5,4,1,3,4,2,4,4,2,4,3,4,4,0
Male,Disloyal Customer,Personal Travel,Eco,50,992,34,34,4,4,4,2,5,2,4,5,4,4,5,4,4,1
Female,Disloyal Customer,Personal Travel,Eco,42,703,9,0,3,4,3,2,4,5,2,4,3,4,4,5,4,0
Male,Loyal Customer,Business travel,Eco,19,970,7,13,4,3,2,3,5,4,3,4,3,4,5,4,4,0
Female,Loyal Customer,Personal Travel,Eco,31,1511,8,6,4,4,2,4,4,3,2,4,2,5,3,2,5,0
Female,Loyal Customer,Personal Travel,Eco,21,1089,15,35,3,4,4,2,4,3,3,3,4,4,4,4,4,0
Male,Loyal Customer,Business travel,Eco,19,1510,14,11,3,3,2,2,4,5,4,3,4,3,0,4,5,1
Female,Loyal Customer,Personal Travel,Eco,40,565,10,14,4,3,3,4,4,3,3,4,3,5,4,4,3,1
Female,Disloyal Customer,Personal Travel,Eco,46,489,17,15,2,4,2,3,4,4,4,4,4,4,5,4,3,1
Male,Loyal Customer,Personal Travel,Business,44,908,9,0,4,3,2,3,3,4,3,5,3,4,4,5,4,1
Male,Disloyal Customer,Personal Travel,Eco,46,881,7,5,2,4,4,2,4,5,4,5,3,3,3,4,4,0
Female,Loyal Customer,Personal Travel,Eco,39,807,9,17,3,5,4,3,4,3,3,3,3,4,5,4,4,1
Male,Disloyal Customer,Personal Travel,Eco,36,421,5,11,2,4,2,4,5,2,4,4,4,5,2,4,4,1
Male,Loyal Customer,Business travel,Eco,26,1499,15,12,3,4,3,4,3,2,2,5,3,4,2,4,3,1
Male,Loyal Customer,Business travel,Eco,34,719,5,0,5,4,3,3,4,4,2,2,3,5,4,4,2,1
Female,Loyal Customer,Personal Travel,Eco Plus,23,1613,1,7,4,3,3,2,3,5,3,3,3,5,4,5,5,1
Female,Loyal Customer,Personal Travel,Business,29,906,2,6,5,3,5,3,4,4,4,3,4,4,3,5,3,1
Female,Disloyal Customer,Business travel,Eco,40,1224,11,19,2,2,3,3,3,3,3,5,3,2,4,5,3,0
Female,Loyal Customer,Business travel,Eco Plus,38,1179,4,1,3,4,3,2,4,4,4,4,5,4,5,4,4,1
Male,Loyal Customer,Personal Travel,Eco,76,488,14,0,4,4,3,3,4,3,4,3,3,3,3,4,4,1
Female,Loyal Customer,Personal Travel,Eco,23,1084,8,13,4,4,0,4,3,3,1,4,3,5,4,0,5,1
Male,Disloyal Customer,Business travel,Eco,37,1864,15,15,3,3,1,3,0,3,5,3,5,4,4,3,4,1
Male,Loyal Customer,Business travel,Eco,22,1026,1,15,3,4,3,1,2,3,2,5,2,4,4,5,4,1
Female,Loyal Customer,Business travel,Eco Plus,34,1351,5,5,2,0,3,3,4,3,2,2,3,4,4,4,4,0
Male,Loyal Customer,Personal Travel,Eco Plus,35,1247,4,4,5,4,3,3,2,4,4,4,4,5,2,4,3,1
Female,Loyal Customer,Personal Travel,Eco Plus,49,1054,38,42,3,4,3,4,4,3,3,4,2,4,4,3,3,0
Female,Loyal Customer,Personal Travel,Eco,34,993,6,0,4,5,2,5,4,2,3,3,4,3,2,4,5,1
Female,Disloyal Customer,Personal Travel,Eco Plus,37,1174,2,0,4,5,3,3,4,4,3,3,2,3,4,5,4,1
Female,Loyal Customer,Business travel,Eco,34,1282,11,10,4,3,3,2,4,3,3,2,3,4,3,3,5,1
Female,Disloyal Customer,Personal Travel,Eco,22,224,3,0,3,3,3,3,4,3,3,5,5,4,4,3,3,0
Male,Loyal Customer,Personal Travel,Eco,31,1024,16,14,5,4,3,3,4,4,4,4,1,5,4,3,5,1
Male,Loyal Customer,Business travel,Eco Plus,34,808,18,37,2,3,3,4,5,3,3,5,3,4,4,3,4,1
Male,Loyal Customer,Business travel,Business,40,704,4,14,5,4,4,0,5,3,2,3,3,3,3,5,3,1
Male,Loyal Customer,Business travel,Eco,46,1548,4,7,2,4,3,4,3,3,3,5,2,4,3,4,5,0
Male,Loyal Customer,Business travel,Eco Plus,36,533,10,26,3,4,3,4,4,3,3,4,2,3,4,3,5,1
Female,Loyal Customer,Personal Travel,Eco Plus,36,203,16,8,5,3,1,3,2,3,0,5,4,4,3,3,4,0
Male,Loyal Customer,Personal Travel,Business,18,1298,11,36,4,3,4,5,3,1,3,4,3,5,4,2,4,0
Male,Disloyal Customer,Personal Travel,Eco,45,190,6,1,4,2,3,3,3,3,4,4,2,4,3,3,4,1
Male,Loyal Customer,Business travel,Eco Plus,31,80,2,22,3,5,3,3,5,5,3,5,2,4,5,3,3,1
Male,Loyal Customer,Business travel,Eco Plus,48,1354,25,45,0,4,2,3,3,4,0,5,3,4,4,3,4,1
Female,Loyal Customer,Personal Travel,Business,55,979,11,0,5,4,5,1,4,3,3,3,2,4,5,3,4,1
Female,Loyal Customer,Personal Travel,Eco,37,1136,28,43,4,4,1,4,4,4,0,4,3,4,3,3,5,0
Female,Disloyal Customer,Personal Travel,Business,27,679,12,9,4,2,4,4,3,4,5,3,4,4,4,4,4,0
Female,Loyal Customer,Personal Travel,Eco,39,208,26,20,4,3,3,1,2,3,3,4,4,3,4,4,3,1
Male,Loyal Customer,Business travel,Business,43,307,4,9,3,3,1,4,3,5,4,4,5,3,3,4,2,1
Female,Loyal Customer,Personal Travel,Eco,35,764,4,0,4,3,5,3,4,4,2,5,2,4,2,4,4,0
Male,Loyal Customer,Business travel,Eco,32,264,7,12,4,2,3,4,4,3,3,3,3,4,5,2,3,1
Male,Disloyal Customer,Personal Travel,Eco,46,1054,4,0,3,3,1,3,4,5,4,5,3,5,3,3,4,1
Male,Loyal Customer,Personal Travel,Eco,45,669,2,4,2,4,2,2,4,2,1,2,4,3,3,5,4,1
Female,Disloyal Customer,Personal Travel,Eco,35,993,5,18,4,4,3,3,5,2,4,4,4,3,3,5,4,1
Male,Loyal Customer,Business travel,Eco,19,978,12,16,4,4,4,2,5,4,3,3,2,5,3,5,4,1
Male,Disloyal Customer,Personal Travel,Eco,44,1093,3,0,3,5,2,0,4,4,2,4,5,4,4,4,4,1
Male,Loyal Customer,Personal Travel,Eco,30,1150,3,8,5,4,0,4,3,5,4,5,2,4,4,3,5,0
Male,Loyal Customer,Personal Travel,Eco Plus,42,728,5,0,0,3,4,4,3,1,0,3,4,4,4,5,4,0
Female,Disloyal Customer,Business travel,Business,41,992,3,0,4,5,3,5,3,4,3,4,4,5,5,4,4,0
Male,Loyal Customer,Business travel,Eco Plus,18,1018,5,1,4,2,1,3,3,2,4,3,4,5,4,4,3,1
Male,Loyal Customer,Business travel,Eco,40,80,7,15,4,2,3,2,4,4,4,4,3,4,5,5,4,0
Male,Disloyal Customer,Personal Travel,Eco,45,1223,3,7,4,3,3,4,5,3,4,4,3,4,4,1,5,1
Female,Loyal Customer,Business travel,Business,47,975,5,10,3,4,3,2,4,4,2,3,4,5,2,4,4,0
Male,Disloyal Customer,Personal Travel,Eco,40,1182,8,8,5,4,2,3,4,3,4,3,4,4,3,2,4,0
Male,Disloyal Customer,Business travel,Eco,18,257,4,0,3,3,2,4,5,4,3,4,4,4,3,4,5,1
Male,Disloyal Customer,Personal Travel,Business,54,742,2,17,4,3,3,3,3,3,1,3,4,4,0,5,4,1
Female,Disloyal Customer,Personal Travel,Business,44,354,4,0,3,2,3,3,5,3,4,5,4,3,5,4,4,1
Female,Loyal Customer,Business travel,Eco,25,1272,6,10,0,2,4,2,5,4,2,2,5,4,4,5,4,1
Female,Loyal Customer,Business travel,Eco Plus,30,197,2,1,5,5,1,4,4,5,3,5,3,5,3,4,0,0
Male,Loyal Customer,Personal Travel,Eco,42,436,12,18,3,3,3,3,5,0,5,4,0,4,3,5,5,1
Female,Disloyal Customer,Personal Travel,Eco Plus,47,1167,6,0,4,5,3,4,5,4,3,4,3,3,4,2,5,0
Female,Disloyal Customer,Business travel,Eco,33,585,4,15,4,3,3,4,4,4,2,4,5,5,4,4,5,1
Female,Loyal Customer,Business travel,Eco,49,436,2,16,3,4,2,4,4,4,4,2,4,4,4,3,5,0
Male,Loyal Customer,Business travel,Eco Plus,18,1353,11,21,5,4,4,3,3,4,5,5,4,5,3,4,4,1
Male,Loyal Customer,Personal Travel,Eco,26,1374,18,20,4,4,4,3,4,2,2,3,4,3,5,4,3,1
Male,Loyal Customer,Personal Travel,Eco Plus,18,1261,5,1,3,4,2,2,4,4,1,3,3,5,3,4,4,0
Female,Disloyal Customer,Business travel,Eco,28,1324,27,55,4,4,3,3,4,3,4,5,5,4,3,4,5,0
Male,Loyal Customer,Business travel,Business,57,784,8,0,3,4,3,4,4,3,4,3,4,3,5,5,4,1
Male,Disloyal Customer,Business travel,Business,64,798,8,17,3,3,4,2,3,3,4,3,3,4,5,4,2,1
Male,Disloyal Customer,Business travel,Eco,42,576,14,17,3,4,2,3,3,4,2,4,3,3,3,4,5,1
Female,Disloyal Customer,Personal Travel,Eco Plus,31,984,11,10,4,4,2,5,2,4,4,4,3,4,4,4,4,1
Male,Loyal Customer,Personal Travel,Eco,36,636,3,5,3,3,3,3,4,3,4,5,3,5,3,4,3,1
Female,Disloyal Customer,Business travel,Eco,45,683,5,0,4,4,2,2,4,2,5,0,3,4,4,4,3,0
Female,Disloyal Customer,Personal Travel,Eco,20,1200,16,20,4,4,1,3,4,5,3,5,2,4,4,3,4,1
Female,Disloyal Customer,Business travel,Business,32,1492,12,15,3,3,2,2,5,4,3,5,1,3,5,5,5,1
